"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-01","Micrograms/cubic meter (LC)","None",24,100.0,25.375,67,1,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-02","Micrograms/cubic meter (LC)","None",23,96.0,18.652174,32,19,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-03","Micrograms/cubic meter (LC)","None",24,100.0,23.375,38,16,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-04","Micrograms/cubic meter (LC)","None",24,100.0,14.625,36,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-05","Micrograms/cubic meter (LC)","None",24,100.0,14.333333,44,19,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-06","Micrograms/cubic meter (LC)","None",24,100.0,31.833333,54,20,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-07","Micrograms/cubic meter (LC)","None",24,100.0,33.291667,56,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-08","Micrograms/cubic meter (LC)","None",24,100.0,5.5,12,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-09","Micrograms/cubic meter (LC)","None",24,100.0,8.125,21,22,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-10","Micrograms/cubic meter (LC)","None",24,100.0,12.875,33,22,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-11","Micrograms/cubic meter (LC)","None",23,96.0,16.217391,40,23,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-12","Micrograms/cubic meter (LC)","None",24,100.0,11,26,21,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-13","Micrograms/cubic meter (LC)","None",24,100.0,5.5,20,21,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-14","Micrograms/cubic meter (LC)","None",24,100.0,7.166667,24,22,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-15","Micrograms/cubic meter (LC)","None",23,96.0,12.130435,20,21,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-16","Micrograms/cubic meter (LC)","None",24,100.0,20.208333,39,19,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-17","Micrograms/cubic meter (LC)","None",24,100.0,28.083333,47,21,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-18","Micrograms/cubic meter (LC)","None",24,100.0,19.041667,34,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-19","Micrograms/cubic meter (LC)","None",24,100.0,27.041667,49,19,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-20","Micrograms/cubic meter (LC)","None",24,100.0,19.708333,37,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-21","Micrograms/cubic meter (LC)","None",24,100.0,12.291667,31,19,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-22","Micrograms/cubic meter (LC)","None",24,100.0,10.041667,19,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-23","Micrograms/cubic meter (LC)","None",24,100.0,32.75,68,23,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-24","Micrograms/cubic meter (LC)","None",24,100.0,42.916667,56,10,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-25","Micrograms/cubic meter (LC)","None",24,100.0,20.541667,42,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-26","Micrograms/cubic meter (LC)","None",24,100.0,14.375,34,19,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-27","Micrograms/cubic meter (LC)","None",23,96.0,15.826087,28,10,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-28","Micrograms/cubic meter (LC)","None",24,100.0,8,19,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-29","Micrograms/cubic meter (LC)","None",8,33.0,4.25,9,3,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-01","Micrograms/cubic meter (LC)","None",1,100.0,25.3,25.3,0,79," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-02","Micrograms/cubic meter (LC)","None",1,100.0,18.6,18.6,0,65," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-03","Micrograms/cubic meter (LC)","None",1,100.0,23.3,23.3,0,75," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-04","Micrograms/cubic meter (LC)","None",1,100.0,14.6,14.6,0,56," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-05","Micrograms/cubic meter (LC)","None",1,100.0,14.3,14.3,0,56," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-06","Micrograms/cubic meter (LC)","None",1,100.0,31.8,31.8,0,92," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-07","Micrograms/cubic meter (LC)","None",1,100.0,33.2,33.2,0,95," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-08","Micrograms/cubic meter (LC)","None",1,100.0,5.5,5.5,0,23," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-09","Micrograms/cubic meter (LC)","None",1,100.0,8.1,8.1,0,34," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-10","Micrograms/cubic meter (LC)","None",1,100.0,12.8,12.8,0,52," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-11","Micrograms/cubic meter (LC)","None",1,100.0,16.2,16.2,0,60," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-12","Micrograms/cubic meter (LC)","None",1,100.0,11,11,0,46," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-13","Micrograms/cubic meter (LC)","None",1,100.0,5.5,5.5,0,23," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-14","Micrograms/cubic meter (LC)","None",1,100.0,7.1,7.1,0,30," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-15","Micrograms/cubic meter (LC)","None",1,100.0,12.1,12.1,0,51," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-16","Micrograms/cubic meter (LC)","None",1,100.0,20.2,20.2,0,68," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-17","Micrograms/cubic meter (LC)","None",1,100.0,28,28,0,84," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-18","Micrograms/cubic meter (LC)","None",1,100.0,19,19,0,66," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-19","Micrograms/cubic meter (LC)","None",1,100.0,27,27,0,82," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-20","Micrograms/cubic meter (LC)","None",1,100.0,19.7,19.7,0,67," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-21","Micrograms/cubic meter (LC)","None",1,100.0,12.2,12.2,0,51," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-22","Micrograms/cubic meter (LC)","None",1,100.0,10,10,0,42," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-23","Micrograms/cubic meter (LC)","None",1,100.0,32.7,32.7,0,94," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-24","Micrograms/cubic meter (LC)","None",1,100.0,42.9,42.9,0,119," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-25","Micrograms/cubic meter (LC)","None",1,100.0,20.5,20.5,0,69," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-26","Micrograms/cubic meter (LC)","None",1,100.0,14.3,14.3,0,56," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-27","Micrograms/cubic meter (LC)","None",1,100.0,15.8,15.8,0,59," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","2014-01-28","Micrograms/cubic meter (LC)","None",1,100.0,8,8,0,33," - ","Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-01","Micrograms/cubic meter (LC)","None",24,100.0,24.958333,38,13,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-02","Micrograms/cubic meter (LC)","None",24,100.0,18.041667,34,14,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-03","Micrograms/cubic meter (LC)","None",24,100.0,18.166667,38,12,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-04","Micrograms/cubic meter (LC)","None",24,100.0,15.958333,31,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-05","Micrograms/cubic meter (LC)","None",24,100.0,8.416667,18,14,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-06","Micrograms/cubic meter (LC)","None",24,100.0,26.958333,42,20,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-07","Micrograms/cubic meter (LC)","None",24,100.0,29.791667,49,11,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-08","Micrograms/cubic meter (LC)","None",24,100.0,6.708333,17,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-09","Micrograms/cubic meter (LC)","None",23,96.0,7.217391,12,15,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-10","Micrograms/cubic meter (LC)","None",24,100.0,10.458333,19,13,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-11","Micrograms/cubic meter (LC)","None",24,100.0,10.958333,29,19,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-12","Micrograms/cubic meter (LC)","None",24,100.0,7.791667,16,0,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-13","Micrograms/cubic meter (LC)","None",24,100.0,4.541667,10,23,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-14","Micrograms/cubic meter (LC)","None",24,100.0,9.291667,18,21,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-15","Micrograms/cubic meter (LC)","None",24,100.0,10.875,18,7,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-16","Micrograms/cubic meter (LC)","None",24,100.0,10.75,22,13,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-17","Micrograms/cubic meter (LC)","None",24,100.0,20.541667,49,14,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-18","Micrograms/cubic meter (LC)","None",24,100.0,18,34,14,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","2014-01-19","Micrograms/cubic meter (LC)","None",24,100.0,23.625,44,21,"","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation","Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
